Company_Name,Product_Name,Product_Category,Technology_Type,Market_Segment,Revenue(Millions),R&D_Expenditure(Millions),Market_Share(Percentage),Number_of_Employees,Industry_Focus,Country,City,Year_Founded,Partnership_Status,Customer_Satisfaction_Index
"FutureGaming         ","VirtualWorld        ","Gaming               ","Virtual Reality   ","Entertainment    ",42,9,16,550,"Gaming            ","UK           ","Manchester  ",2014,"Inactive           ",4.1
"SecureID Solutions   ","BioSecure           ","Biometrics           ","Biometric Security ","Security         ",65,18,20,700,"Security          ","Singapore    ","Singapore   ",2011,"Active              ",4.5
"EduGame Studios      ","MathQuest           ","EdTech               ","Gamified Learning ","Education        ",18,4,6,250,"Education         ","India        ","Delhi       ",2016,"Active              ",4.3
"AeroDynamics         ","FlyHigh             ","Aerospace            ","Aviation          ","Defense          ",95,25,30,1500,"Aerospace         ","France       ","Toulouse    ",2008,"Active              ",4.7
"HealthInno           ","CareLink            ","Health Tech          ","Remote Patient Monitoring ","Healthcare ",38,8,12,450,"Medical           ","Germany      ","Munich      ",2013,"Active              ",4.2
"FinSolutions         ","CryptoBank          ","FinTech              ","Cryptocurrency    ","Finance          ",75,20,24,1100,"Financial         ","Japan        ","Osaka       ",2010,"Active              ",4.6
"AgriTech Solutions   ","CropGuard           ","Agriculture          ","Crop Monitoring   ","Agribusiness      ",32,7,10,400,"Agriculture       ","Brazil       ","Sao Paulo   ",2015,"Active              ",4.1
"UrbanMobility Tech   ","UrbanNav            ","Smart Cities         ","Navigation Tech   ","Transportation   ",28,6,8,350,"Urban Mobility    ","USA          ","Chicago     ",2012,"Active              ",4
"TechVisionaries      ","QuantumHub          ","Technology           ","Quantum Computing ","Research         ",110,28,32,1600,"Technology        ","UK           ","Birmingham  ",2009,"Inactive           ",4.8
"CleanAir Solutions    ","PureBreathe         ","Environmental        ","Air Purification  ","Eco-friendly     ",50,14,16,650,"Clean Tech        ","Canada       ","Ottawa      ",2013,"Active              ",4.3
"RoboTech Innovations ","RoboBuilder         ","Robotics             ","AI Robotics       ","Manufacturing    ",55,15,18,750,"Robotics          ","Singapore    ","Singapore   ",2011,"Active              ",4.5
"EduLearn Tech        ","KnowledgeQuest      ","EdTech               ","E-learning        ","Education        ",20,5,10,300,"Education         ","India        ","Bangalore   ",2014,"Active              ",4.2
"QuantumSolutions     ","QuantumSense        ","Technology           ","Quantum Sensors   ","Research         ",120,30,35,1800,"Technology        ","USA          ","Seattle     ",2010,"Active              ",4.7
"GreenEnergy Systems   ","EcoPower            ","Clean Energy         ","Green Power       ","Energy           ",60,16,20,800,"Renewable Energy  ","Germany      ","Frankfurt   ",2012,"Active              ",4.4
"Securitech           ","BioShield           ","Biometrics           ","Biometric Security ","Security         ",70,18,22,900,"Security          ","Japan        ","Tokyo       ",2011,"Inactive           ",4
"HealthConnect Tech    ","TeleHealth Pro      ","Health Tech          ","Telehealth        ","Healthcare       ",42,10,14,550,"Medical           ","Australia    ","Melbourne   ",2013,"Active              ",4.6
"FinTech Innovators    ","CryptoTrade         ","FinTech              ","Cryptocurrency    ","Finance          ",90,25,28,1200,"Financial         ","Brazil       ","Rio de Janeiro",2014,"Active              ",4.2
"AgriTech Pro         ","PrecisionHarvest    ","Agriculture          ","Precision Farming ","Agribusiness      ",35,8,12,450,"Agriculture       ","France       ","Paris       ",2015,"Active              ",4.5
"SmartCity Solutions   ","CityHub             ","Smart Cities         ","Urban Planning    ","Urban Development ",48,12,16,650,"Urban Planning    ","USA          ","New York    ",2012,"Active              ",4.3
"GameGenius           ","ImmersiveReality     ","Gaming               ","Immersive Gaming  ","Entertainment    ",55,14,18,700,"Gaming            ","UK           ","London      ",2013,"Inactive           ",4
"BioSecure Solutions   ","BioAccess           ","Biometrics           ","Access Control   ","Security         ",80,20,24,1100,"Security          ","Singapore    ","Singapore   ",2010,"Active              ",4.4
"EduFun Studios        ","ScienceQuest        ","EdTech               ","Gamified Learning ","Education        ",25,6,8,350,"Education         ","India        ","Pune        ",2014,"Active              ",4.2
"Tech Innovators      ","QuantumLeap          ","Electronics      ","Quantum Computing ","Consumer       ",75,15,10,500,"Electronics           ","USA          ","San Francisco ",2010,"Active               ",4.2
"Data Dynamics        ","DataHarmony          ","Big Data          ","Analytics        ","Enterprise     ",120,25,15,800,"IT Services           ","Germany      ","Berlin       ",2008,"Strategic           ",4.5
"EcoSolutions         ","GreenGenius          ","Renewable Energy  ","Clean Tech       ","Energy         ",50,10,8,300,"Energy                ","Canada       ","Toronto      ",2012,"Active               ",4.1
"HealthTech Systems   ","MediConnect         ","Health Tech       ","AI               ","Healthcare     ",90,18,12,700,"Healthcare            ","UK           ","London       ",2011,"Active               ",4.4
"InnovateSoft         ","BizConnect           ","Software          ","SaaS             ","B2B            ",200,40,20,1200,"Business Services     ","USA          ","New York     ",2005,"Strategic           ",4.6
"SmartSecurity        ","CyberGuard           ","Cybersecurity     ","Network Security ","B2G            ",60,12,8,400,"Government            ","Australia    ","Sydney       ",2013,"Active               ",4
"MobileTech Solutions ","AppMasters           ","Mobile Apps       ","Mobile           ","SMB            ",30,6,5,250,"Technology            ","India        ","Bangalore    ",2014,"Active               ",4.3
"FinTech Ventures     ","FinSolutions         ","Financial Tech    ","Blockchain       ","Finance        ",150,30,18,900,"Finance               ","USA          ","Chicago      ",2007,"Strategic           ",4.5
"RoboWorks            ","RoboAssist           ","Robotics          ","AI Robotics      ","Manufacturing  ",80,16,10,600,"Manufacturing         ","China        ","Shanghai     ",2010,"Active               ",4.2
"BioTech Innovations  ","GeneMaster           ","Biotechnology     ","Genetic Engineering ","Healthcare   ",40,8,6,200,"Biotech               ","France       ","Paris        ",2015,"Active               ",4.4
"CloudSolutions Ltd   ","CloudMatrix          ","Cloud Services    ","Cloud Computing  ","Enterprise     ",110,22,14,850,"IT Services           ","Canada       ","Vancouver    ",2009,"Strategic           ",4.3
"RoboHealth Systems   ","MediBot              ","Robotics          ","Medical Robotics ","Healthcare     ",70,14,9,550,"Healthcare            ","USA          ","Los Angeles  ",2012,"Active               ",4.6
"AutoTech Innovations ","AutoPilot            ","Automotive Tech   ","Autonomous Vehicles ","Consumer    ",45,9,7,350,"Automotive            ","Japan        ","Tokyo        ",2011,"Active               ",4.1
"AgriTech Solutions   ","CropMaster           ","Agriculture Tech  ","Precision Farming ","Agriculture   ",55,11,8,400,"Agriculture           ","Brazil       ","Sao Paulo    ",2013,"Strategic           ",4.2
"EduTech Solutions    ","LearnHub             ","Education Tech    ","EdTech           ","Education      ",25,5,4,150,"Education             ","South Korea  ","Seoul        ",2016,"Active               ",4.3
"SpaceTech Systems    ","AstroTech            ","Space Technology  ","Satellite Tech   ","Aerospace      ",180,36,25,1100,"Aerospace             ","USA          ","Houston      ",2006,"Strategic           ",4.7
"SmartGrid Solutions  ","GridSmart            ","Energy Tech       ","Smart Grid       ","Energy         ",65,13,9,500,"Energy                ","Germany      ","Munich       ",2010,"Active               ",4.4
"TechGenius Solutions ","Innovate360          ","Technology        ","Emerging Tech    ","B2B            ",250,50,22,1500,"Technology            ","USA          ","San Jose     ",2004,"Strategic           ",4.8
"RoboAssist Tech      ","AIAssistant          ","Robotics          ","AI Robotics      ","B2B            ",95,19,11,650,"Robotics              ","UK           ","Manchester   ",2008,"Active               ",4.5
"FinSecure Solutions  ","CryptoGuard          ","Financial Tech    ","Cryptocurrency   ","Finance        ",130,26,16,800,"Finance               ","Switzerland  ","Zurich       ",2012,"Strategic           ",4.6
"BioHealthTech        ","BioScan              ","Biotechnology     ","Medical Imaging  ","Healthcare     ",35,7,5,300,"Biotech               ","USA          ","Boston       ",2013,"Active               ",4.2
"CloudTech Innovate   ","CloudSphere          ","Cloud Services    ","Hybrid Cloud     ","Enterprise     ",95,19,12,700,"IT Services           ","Singapore    ","Singapore    ",2009,"Strategic           ",4.3
"RoboIndustries       ","FactoryBot           ","Robotics          ","Industrial Robotics ","Manufacturing ",75,15,10,550,"Manufacturing         ","China        ","Beijing      ",2011,"Active               ",4.4
"TechGenius Inc.     ","SmartWidget Pro       ","Consumer         ","IoT              ","Electronics   ",60,12,18,600,"Electronics         ","USA           ","San Francisco ",2008,"Active              ",4.5
"InnovateWare        ","EnterpriseSuite X      ","B2B               ","SaaS             ","Business       ",150,25,30,1200,"Business Services   ","Germany       ","Berlin        ",2010,"Active              ",4.6
"CloudConnect        ","CloudFlex Services     ","Enterprise        ","Cloud Computing ","IT             ",100,20,25,800,"IT                  ","Japan         ","Tokyo         ",2012,"Active              ",4.4
"MedTech Solutions   ","HealthAI Pro           ","Healthcare        ","AI               ","Healthcare     ",45,10,15,450,"Healthcare          ","Brazil        ","Sao Paulo      ",2011,"Active              ",4.3
"SecureNet Systems   ","CyberGuardian Suite    ","B2G               ","Security         ","Government     ",80,15,22,800,"Security            ","UAE           ","Dubai         ",2009,"Active              ",4.7
"GlobalERP Solutions ","EnterpriseFlow         ","Manufacturing     ","ERP              ","Manufacturing  ",70,18,20,700,"Manufacturing       ","South Africa  ","Johannesburg  ",2013,"Active              ",4.2
"MobileInnovators    ","AppHub Pro             ","SMB               ","Mobile Apps      ","Technology     ",40,8,12,400,"Technology          ","Canada        ","Toronto       ",2014,"Active              ",4.5
"DataInsight Tech    ","BigData Insights       ","Finance           ","Big Data         ","Finance        ",120,30,35,1200,"Finance             ","UK            ","London        ",2010,"Active              ",4.8
"GreenEcoTech        ","EcoPower Solutions     ","Energy            ","Green Tech        ","Energy         ",55,12,16,550,"Energy              ","Australia     ","Sydney        ",2012,"Active              ",4.6
"HealthWave Systems  ","HealthConnect Pro      ","Healthcare        ","Health Tech       ","Healthcare     ",90,20,28,900,"Healthcare          ","Mexico        ","Mexico City   ",2011,"Active              ",4.4
"TechSolutions Plus  ","SmartOffice Suite      ","B2B               ","SaaS             ","Business       ",130,28,32,1300,"Business Services   ","USA           ","New York      ",2009,"Active              ",4.7
"RoboTech Innovations","RoboAssist             ","Consumer         ","Robotics         ","Electronics   ",75,15,20,750,"Electronics         ","Japan         ","Osaka         ",2013,"Active              ",4.2
"CloudScape Networks  ","CloudNavigator         ","Enterprise        ","Cloud Computing ","IT             ",110,22,28,1100,"IT                  ","Germany       ","Munich        ",2011,"Active              ",4.5
"MedInnovate Systems  ","HealthHub Pro          ","Healthcare        ","Health Tech       ","Healthcare     ",50,10,14,500,"Healthcare          ","Brazil        ","Rio de Janeiro ",2010,"Active              ",4.3
"CyberDefend Tech     ","CyberShield Pro        ","B2G               ","Security         ","Government     ",65,14,18,650,"Security            ","UAE           ","Abu Dhabi     ",2012,"Active              ",4.8
"DataMinds Solutions   ","DataInsight Pro        ","Finance           ","Big Data         ","Finance        ",140,35,40,1400,"Finance             ","UK            ","Manchester    ",2008,"Active              ",4.6
"EcoPowerTech          ","EcoEnergy Solutions    ","Energy            ","Green Tech        ","Energy         ",60,14,18,600,"Energy              ","Australia     ","Melbourne     ",2014,"Active              ",4.4
"TeleHealth Innovators ","TeleHealth Pro         ","Healthcare        ","Health Tech       ","Healthcare     ",85,18,25,850,"Healthcare          ","Mexico        ","Guadalajara   ",2011,"Active              ",4.7
"SmartSolutions Inc.   ","SmartBiz Suite         ","B2B               ","SaaS             ","Business       ",125,25,30,1250,"Business Services   ","USA           ","Chicago       ",2010,"Active              ",4.5
"RoboTech Systems      ","RoboServe Assist       ","Consumer         ","Robotics         ","Electronics   ",70,15,22,700,"Electronics         ","Japan         ","Tokyo         ",2013,"Active              ",4.2
"CloudSphere Solutions ","CloudFlex Enterprise   ","Enterprise        ","Cloud Computing ","IT             ",105,20,26,1050,"IT                  ","Germany       ","Hamburg       ",2011,"Active              ",4.4
"MedConnect Innovate   ","HealthLink Pro         ","Healthcare        ","Health Tech       ","Healthcare     ",48,10,14,480,"Healthcare          ","Brazil        ","Brasilia      ",2010,"Active              ",4.3
"CyberGuard Systems    ","CyberDefender Pro      ","B2G               ","Security         ","Government     ",75,16,20,750,"Security            ","UAE           ","Sharjah       ",2012,"Active              ",4
"Tech Innovators   ","Quantum Vision        ","Electronics      ","Quantum Computing ","Consumer       ",55,12,15,500,"High Tech Electronics ","USA          ","San Francisco ",2010,"Active               ",4.3
"Data Dynamics     ","Cyber Insights        ","Cybersecurity    ","AI               ","B2B            ",80,20,18,800,"IT Security          ","Germany      ","Berlin       ",2008,"Inactive            ",4.5
"Cloud Synergies   ","Sky Connect           ","Cloud Services   ","Cloud Computing  ","Enterprise     ",120,25,22,1200,"Cloud Solutions      ","UK           ","London       ",2012,"Active               ",4.4
"Health Hub Tech   ","MediConnect           ","Health Tech       ","IoT              ","Healthcare     ",40,10,12,400,"Digital Health       ","Canada       ","Toronto      ",2015,"Active               ",4.6
"RoboSolutions     ","AutoAssist Robotics   ","Robotics         "," AI, Robotics     ","Manufacturing  ",65,15,20,650,"Industrial Automation","Japan        ","Tokyo        ",2011,"Active               ",4.2
"EcoPower Solutions","GreenGen              ","Renewable Energy ","Green Tech       ","Energy         ",30,8,10,300,"Sustainable Energy   ","Australia    ","Sydney       ",2014,"Inactive            ",4.1
"DataCrafters       ","Smart Analytics       ","Big Data          ","Data Analytics   ","Finance        ",90,18,25,900,"Financial Analytics  ","USA          ","New York     ",2009,"Active               ",4.4
"Mobile Innovate   ","AppFlow               ","Mobile Apps       ","Mobile App Dev   ","SMB            ",25,6,8,250,"App Development      ","India        ","Mumbai       ",2013,"Active               ",4.2
"TechNest           ","SmartHome Solutions   ","IoT              ","IoT              ","Consumer       ",75,20,18,750,"Smart Home           ","France       ","Paris        ",2010,"Inactive            ",4.3
"SecureWare         ","ShieldGuard           ","Cybersecurity    ","Security         ","B2G            ",55,12,14,550,"Government Security  ","USA          ","Washington   ",2011,"Active               ",4.5
"BioTech Systems    ","HealthDNA             ","Biotechnology    ","Genetic Engineering ","Healthcare   ",50,15,16,500,"Genetic Medicine     ","Brazil       ","Sao Paulo    ",2012,"Inactive            ",4.3
"TechFusion         ","FusionWare            ","Software         ","SaaS             ","Enterprise     ",100,22,20,1000,"Enterprise Software  ","Germany      ","Munich       ",2007,"Active               ",4.6
"SolarSolutions     ","SolarHarmony          ","Solar Energy      ","Solar Tech       ","Energy         ",35,9,12,350,"Solar Power          ","South Africa ","Cape Town    ",2013,"Active               ",4.2
"NanoMed Tech       ","NanoHealth            ","MedTech           ","Nanotechnology   ","Healthcare     ",45,10,14,450,"Nanomedicine         ","Australia    ","Melbourne    ",2011,"Inactive            ",4.4
"RoboLogistics      ","AutoPilot Logistics   ","Robotics         "," AI, Robotics     ","Logistics      ",70,18,20,700,"Automated Logistics  ","Canada       ","Vancouver   ",2014,"Active               ",4.2
"GreenData          ","EcoInsights           ","Environmental Tech"," AI, IoT          ","Sustainability ",40,12,15,400,"Environmental Data   ","USA          ","Seattle      ",2012,"Inactive            ",4.3
"SmartGridTech      ","GridConnect           ","Smart Grid        ","IoT              ","Energy         ",60,15,18,600,"Smart Grid Solutions ","India        ","Delhi        ",2010,"Active               ",4.5
"FinTech Dynamics   ","FinSight              ","Fintech           ","Blockchain       ","Finance        ",85,20,22,850,"Blockchain Finance   ","UK           ","Manchester   ",2009,"Active               ",4.4
"QuantumSoft        ","QuantumFlow           ","Quantum Computing ","Quantum Computing","B2B            ",110,25,25,1100,"Quantum Solutions    ","Japan        ","Osaka        ",2011,"Inactive            ",4.2
"AeroTech Systems   ","SkyFlyer              ","Aerospace         "," AI, IoT          ","Aerospace      ",95,20,22,950,"Smart Aerospace      ","France       ","Lyon         ",2013,"Active               ",4.6
"AgriTech Innovate  ","CropGuard             ","Agriculture       ","IoT              ","Agriculture    ",30,8,12,300,"Precision Farming    ","Brazil       ","Brasilia     ",2010,"Inactive            ",4.1
"HealthCoders       ","MediCode              ","Health Tech        ","AI              ","Healthcare     ",48,15,16,480,"AI in Healthcare     ","Germany      ","Hamburg      ",2012,"Active               ",4.3
"TechVista           ","Visionary Systems     ","Augmented Reality  ","AR              ","Consumer       ",42,10,14,420,"AR Technology        ","South Africa ","Johannesburg ",2014,"Active               ",4
"TechWare Solutions","DataFlow Pro      ","Data Management   ","Big Data          ","Enterprise      ",65,15,18,800,"IT Services          ","USA        ","San Francisco",2005,"Active               ",4.5
"InnovateHub        ","CloudSync Suite   ","Cloud Services    ","Cloud Computing  ","B2B             ",120,25,22,1200,"Technology           ","Germany    ","Berlin      ",2010,"Active               ",4.8
"GlobalSoft Labs    ","ERP Harmony       ","Enterprise Software","ERP              ","Manufacturing   ",55,12,15,600,"Manufacturing        ","India      ","Mumbai      ",2008,"Active               ",4.2
"CyberGuard Systems ","SafeNet Defender  ","Cybersecurity     ","Security         ","B2G             ",75,20,20,900,"Government           ","UK         ","London      ",2012,"Active               ",4.6
"MobileMinds        ","AppGenius         ","Mobile Apps       ","Mobile Apps      ","SMB             ",30,7,10,350,"Technology           ","Canada     ","Toronto     ",2015,"Inactive             ",4
"DataDynamics Tech  ","Analytix Pro      ","Big Data          ","Analytics        ","Finance         ",90,22,25,1200,"Financial Services   ","USA        ","New York    ",2009,"Active               ",4.7
"EcoEnergy Solutions","EcoPower Suite    ","Renewable Energy  ","Green Tech        ","Energy          ",40,8,12,500,"Energy               ","Australia  ","Sydney      ",2011,"Active               ",4.4
"HealthTech Innovate","MediCare Connect  ","Health Tech        ","Health Tech      ","Healthcare      ",50,12,15,600,"Healthcare           ","France     ","Paris       ",2013,"Active               ",4.9
"TechPulse Systems  ","PulseTech Pro     ","Wearable Tech     ","IoT              ","Consumer        ",20,5,8,250,"Consumer Electronics ","Japan      ","Tokyo       ",2016,"Inactive             ",3.8
"SecureNet Solutions","SafeShield        ","Network Security  ","Security         ","B2B             ",45,10,14,500,"IT Services          ","USA        ","Washington  ",2010,"Active               ",4.3
"CodeCrafters       ","CodeMaster IDE    ","Software Development","DevOps          ","Enterprise      ",80,18,20,800,"IT Services          ","Canada     ","Vancouver   ",2007,"Active               ",4.6
"SmartGrid Tech     ","GridOptimizer     ","Smart Grid        ","IoT              ","Energy          ",35,9,11,400,"Energy               ","Germany    ","Munich      ",2014,"Inactive             ",4.1
"MedTech Innovations","HealthFlow Pro    ","Health Tech        ","MedTech         ","Healthcare      ",65,15,18,700,"Medical Devices      ","USA        ","Boston      ",2006,"Active               ",4.8
"InfoCyber Systems  ","CyberDefender      ","Cybersecurity     ","Security         ","B2G             ",70,18,19,850,"Government           ","UK         ","Manchester  ",2011,"Active               ",4.5
"CloudHarbor Tech   ","CloudNavigator    ","Cloud Services    ","Cloud Computing  ","Enterprise      ",110,28,23,1300,"Technology           ","Australia  ","Melbourne   ",2009,"Active               ",4.7
"FutureTech Labs    ","Innovate360        ","Emerging Tech      ","AI              ","B2B             ",100,25,21,1100,"Technology           ","Japan      ","Osaka       ",2012,"Inactive             ",4.2
"NanoSoft Solutions ","NanoVision        ","Nanotechnology    ","Nanotech         ","Research        ",25,6,9,300,"Research & Development","Canada   ","Montreal    ",2013,"Active               ",4
"GeoTech Innovations","GeoMapping Pro    ","Geospatial Tech   ","GIS              ","B2B             ",40,10,14,550,"Technology           ","USA        ","Los Angeles ",2008,"Active               ",4.4
"SolarEdge Systems  ","SolarOptimizer    ","Solar Energy      ","Green Tech        ","Energy          ",50,12,16,600,"Energy               ","Germany    ","Hamburg     ",2010,"Active               ",4.6
"HealthConnect Tech ","MediConnect       ","Health Tech        ","Health Tech      ","Healthcare      ",55,14,17,650,"Healthcare           ","France     ","Lyon        ",2014,"Inactive             ",4.1
"RoboLogic Solutions","RoboAssist         ","Robotics           ","AI              ","Manufacturing   ",75,20,22,800,"Robotics             ","Japan      ","Kyoto       ",2011,"Active               ",4.8
"TechInnovate       ","QuantumLeap        ","Quantum Computing ","Quantum Computing","Research        ",30,7,10,350,"Research & Development","Canada   ","Toronto     ",2015,"Inactive             ",3.9
"GreenScape Tech    ","EcoHarvest         ","AgTech             ","AgTech           ","Agriculture     ",35,9,12,400,"Agriculture          ","USA        ","Chicago     ",2013,"Active               ",4.3
"Visionary Systems  ","VisionaryAI        ","AI Solutions       ","AI              ","B2B             ",90,20,21,950,"Technology           ","UK         ","Birmingham  ",2007,"Active               ",4.7
"AeroTech Solutions ","AeroFlight Pro     ","Aerospace Tech    ","Aerospace Tech   ","Aerospace       ",120,30,25,1400,"Aerospace            ","Germany    ","Frankfurt   ",2009,"Active               ",4.9
"BioTech Innovations","BioHealth Pro      ","Biotechnology      ","Biotech          ","Healthcare      ",65,15,17,750,"Biotechnology        ","USA        ","San Diego   ",2008,"Inactive             ",4.2
"EduTech Ventures   ","LearnSmart         ","EdTech             ","EdTech           ","Education       ",40,8,13,500,"Education            ","Australia  ","Perth       ",2012,"Active               ",4.5
"CyberSafe Systems   ","SafeGuard Pro     ","Cybersecurity     ","Security         ","B2B             ",55,14,16,650,"IT Services          ","Canada     ","Ottawa      ",2010,"Active               ",4.4
"QuantumSoft Labs   ","QuantumSolutions   ","Quantum Computing ","Quantum Computing","Enterprise      ",100,25,20,1100,"Technology           ","Japan      ","Tokyo       ",2011,"Active               ",4.6
"InnovateTech Inc.    ","TechSuite Pro      ","Software         ","SaaS             ","B2B            ",120,25,23,1200,"IT Services         ","USA          ","San Fran  ",2005,"Active              ",4.5
"GreenEco Systems     ","EcoHarmony         ","Renewable Energy ","Green Tech       ","Energy         ",45,10,15,500,"Energy Solutions    ","Canada       ","Vancouver ",2010,"Active              ",4.2
"MedTech Solutions    ","HealthGenius        ","Health Tech       ","AI              ","Healthcare     ",80,15,18,800,"Medical Technology ","Germany      ","Berlin    ",2008,"Active              ",4.6
"CyberDefenders       ","SecureShield       ","Cybersecurity    ","Security         ","B2B            ",60,12,20,600,"IT Security        ","UK           ","London    ",2012,"Active              ",4.4
"SmartRetailTech      ","ShopConnect        ","Retail Tech       ","IoT              ","Retail         ",35,8,12,400,"Retail Solutions   ","France       ","Paris     ",2011,"Inactive            ",4.1
"DataInsights Co.     ","BigInsights        ","Big Data          ","Big Data         ","Enterprise     ",90,20,25,900,"Data Analytics     ","Japan        ","Tokyo     ",2007,"Active              ",4.7
"EnergyTech Dynamics   ","PowerFlow          ","Energy Tech       ","Smart Grid       ","Energy         ",55,13,16,550,"Power Solutions    ","Australia    ","Sydney    ",2009,"Active              ",4.3
"CloudSolutions Corp.  ","CloudWave          ","Cloud Services    ","Cloud Computing  ","SMB            ",25,5,10,250,"Cloud Solutions    ","USA          ","New York  ",2013,"Active              ",4
"MobileInnovators Ltd. ","AppLaunch          ","Mobile Apps       ","Mobile App Dev   ","Consumer       ",40,7,14,400,"Mobile Technology  ","South Korea  ","Seoul     ",2010,"Inactive            ",4.2
"FinTech Systems      ","FinanceMaster       ","FinTech           ","Blockchain       ","Finance        ",75,18,22,750,"Financial Services ","Singapore    ","Singapore ",2011,"Active              ",4.5
"TechInMotion         ","MotionControl       ","Robotics          ","AI              ","Manufacturing  ",65,15,19,650,"Industrial Tech    ","China        ","Beijing   ",2006,"Active              ",4.3
"EduTech Solutions    ","LearnSphere         ","EdTech            ","E-Learning       ","Education      ",30,6,11,300,"Educational Tech   ","India        ","Mumbai    ",2014,"Active              ",4
"AutoTech Innovations ","AutoPilot           ","Automotive Tech   ","Autonomous Vehicles ","Automotive  ",50,11,17,500,"Auto Technology    ","Germany      ","Stuttgart ",2008,"Inactive            ",4.4
"AeroDynamics Ltd.    ","SkyNavigator        ","Aerospace         ","UAVs             ","Aerospace      ",70,17,21,700,"Aviation Tech      ","USA          ","Los Angeles",2009,"Active              ",4.6
"AgriTech Solutions   ","CropGuard           ","AgriTech          ","Precision Farming ","Agriculture ",38,9,13,380,"Agricultural Tech  ","Brazil       ","Sao Paulo ",2012,"Active              ",4.1
"MedConnect Health    ","TeleHealth          ","Health Tech       ","Telemedicine     ","Healthcare     ",48,14,16,480,"Medical Technology ","Canada       ","Toronto   ",2007,"Active              ",4.5
"QuantumTech Labs     ","QuantumCompute      ","Quantum Computing ","Quantum Computing","B2B            ",100,30,30,1000,"Quantum Tech       ","USA          ","Boston    ",2015,"Active              ",4.8
"RoboInnovate          ","RoboAssistant       ","Robotics          ","AI              ","B2B            ",42,10,14,420,"Robotic Solutions  ","France       ","Lyon      ",2010,"Active              ",4.2
"CleanEnergy Systems   ","SolarHarvest        ","Renewable Energy ","Solar Power      ","Energy         ",58,12,18,580,"Clean Energy       ","Australia    ","Melbourne ",2008,"Active              ",4.4
"MedSimTech           ","SimulateLife        ","MedTech           ","Simulation Tech  ","Healthcare     ",32,8,12,320,"Medical Simulation ","Japan        ","Osaka     ",2013,"Inactive            ",4
"SecureNet Solutions  ","SafeGuard           ","Cybersecurity    ","Network Security ","B2G            ",78,20,25,780,"Cybersecurity      ","USA          ",Washington,2006,"Active              ",4.6
